Name,Status,Type,Feature,LimitedType,Description,Example,EStructFlagsOperation,EStructFlags,MetaOperation,Meta,Code,EFunctionFlags
NoExport,Done,bool,UHT,,不会为该类创建自动生成代码，只用来给UHT提供解析定义。,E:\P4V\Engine\Source\Runtime\CoreUObject\Public\UObject\NoExportTypes.h里定义了很多，还有用!CPP包起来的。所以基本上都是只用来给UHT分析的作用,,,,,,
Atomic,Done,bool,UHT,,该结构总是被序列化为单个单元,,|=,STRUCT_Atomic (../Flags/EStructFlags/STRUCT_Atomic.csv),,,,
BlueprintType,Done,bool,Blueprint,,将此结构体作为可以在蓝图中被用于变量的类型公开。可称为变量类型,,,,,,,
BlueprintInternalUseOnly,Done,bool,Blueprint,,不可定义新BP变量，但可作为别的类的成员变量暴露和变量传递,,,,+=,"BlueprintInternalUseOnly (../Meta/Meta/BlueprintInternalUseOnly.csv), BlueprintType (../Meta/Meta/BlueprintType.csv)",,
BlueprintInternalUseOnlyHierarchical,Done,bool,Blueprint,,本身和子类都作为BlueprintInternalUseOnly使用，不能定义新BP变量。,,,,+=,BlueprintInternalUseOnlyHierarchical (../Meta/Meta/BlueprintInternalUseOnlyHierarchical.csv),,
immutable,Desprecated,bool,Serialization,,"Immutable is only legal in Object.h and is being phased out, do not use on new structs!",,|=,STRUCT_Immutable (../Flags/EStructFlags/STRUCT_Immutable.csv),,,,
IsAlwaysAccessible,Done,bool,UHT,只在NoExportTypes.h供UHT使用,指定UHT在生成文件的时候总是可以访问到改结构的声明，否则要在gen.cpp里生成镜像结构定义,,,,,,,
HasDefaults,Done,bool,UHT,只在NoExportTypes.h供UHT使用,指定该结构的字段拥有默认值。这样如果作为函数参数或返回值时候，则可以提供默认值,,,,,,,FUNC_HasDefaults (../Flags/EFunctionFlags/FUNC_HasDefaults.csv)
HasNoOpConstructor,Done,bool,UHT,只在NoExportTypes.h供UHT使用,指定该结构拥有ForceInit的构造函数，这样在作为BP function返回值的时候，可以调用来初始化,,,,,,,
IsCoreType,Done,bool,UHT,只在NoExportTypes.h供UHT使用,指定该结构是核心类，UHT在用它的时候不需要前向声明。,,,,,,,